timestamp,open,high,low,close,volume,trade_count,vwap
2022-05-09 05:00:00+00:00,155.7,155.7,155.7,155.7,147,2,155.7
2022-05-09 08:00:00+00:00,155.26,155.32,154.14,154.43,111916,2939,154.652143
2022-05-09 09:00:00+00:00,154.45,154.86,153.99,154.29,78055,2110,154.311917
2022-05-09 10:00:00+00:00,154.28,154.33,153.16,153.4,86740,2951,153.723026
2022-05-09 11:00:00+00:00,153.46,154.0,152.78,153.72,772318,11120,153.322568
2022-05-09 12:00:00+00:00,153.71,154.65,153.16,154.0201,711730,8818,153.894945
2022-05-09 13:00:00+00:00,154.0203,155.83,153.38,153.57,23817726,173485,154.958954
2022-05-09 14:00:00+00:00,153.58,154.53,152.78,152.85,18610988,194468,153.482995
2022-05-09 15:00:00+00:00,152.85,153.31,151.955,152.1615,17530119,178283,152.641565
2022-05-09 16:00:00+00:00,152.17,153.66,151.56,152.41,12592247,113539,152.682994
2022-05-09 17:00:00+00:00,152.41,153.54,152.1001,152.55,10314094,88803,152.766846
2022-05-09 18:00:00+00:00,152.5483,153.2,151.81,153.08,11006366,97140,152.486932
2022-05-09 19:00:00+00:00,153.1,153.61,151.49,152.14,22098088,199213,152.393743
2022-05-09 20:00:00+00:00,152.15,152.93,151.85,152.04,2436686,6474,152.103562
2022-05-09 21:00:00+00:00,152.03,152.06,151.72,151.95,461699,3451,152.007073
2022-05-09 22:00:00+00:00,151.95,152.67,151.95,152.54,106944,2155,152.356439
2022-05-09 23:00:00+00:00,152.6,152.75,152.2,152.75,106382,1651,152.483089
2022-05-10 05:00:00+00:00,153.96,153.96,153.96,153.96,117,7,153.960085
2022-05-10 06:00:00+00:00,154.18,154.18,154.18,154.18,100,1,154.18
2022-05-10 08:00:00+00:00,153.52,154.85,153.52,154.33,119409,2772,154.347975
2022-05-10 09:00:00+00:00,154.32,154.64,153.5,153.6,56275,1472,154.204041
2022-05-10 10:00:00+00:00,153.6,153.95,153.4,153.5,85194,1349,153.641537
2022-05-10 11:00:00+00:00,153.51,153.76,153.16,153.75,279181,4823,153.483228
2022-05-10 12:00:00+00:00,153.78,156.0,153.77,155.53,3161703,10732,152.68979
2022-05-10 13:00:00+00:00,155.52,156.54,154.14,155.8203,16941610,159964,155.358323
2022-05-10 14:00:00+00:00,155.83,156.385,153.96,154.48,16721774,168211,155.393389
2022-05-10 15:00:00+00:00,154.48,154.78,153.04,153.76,13753960,147137,153.746121
2022-05-10 16:00:00+00:00,153.75,154.34,152.93,153.36,11109283,111181,153.708778
2022-05-10 17:00:00+00:00,153.39,156.74,153.25,156.695,12822751,118383,155.100343
2022-05-10 18:00:00+00:00,156.7,156.73,155.23,156.07,12168802,105242,155.93929
2022-05-10 19:00:00+00:00,156.09,156.62,154.03,154.53,14886621,138286,155.117121
2022-05-10 20:00:00+00:00,154.51,154.65,154.1,154.16,12101181,3279,154.508087
2022-05-10 21:00:00+00:00,154.15,154.51,154.0,154.3,122272,1279,154.307645
2022-05-10 22:00:00+00:00,154.22,154.51,154.2,154.5,33273,683,154.435143
2022-05-10 23:00:00+00:00,154.53,154.7,154.35,154.5,67838,753,154.492862
2022-05-11 06:00:00+00:00,155.84,155.84,155.84,155.84,330,2,155.84
2022-05-11 07:00:00+00:00,154.82,154.92,154.82,154.92,262,3,154.898397
2022-05-11 08:00:00+00:00,155.28,156.36,155.15,156.22,98513,1475,155.832579
2022-05-11 09:00:00+00:00,156.22,156.89,156.12,156.48,39870,677,156.371271
2022-05-11 10:00:00+00:00,156.44,156.74,156.11,156.52,49169,1007,156.388594
2022-05-11 11:00:00+00:00,156.45,156.6,156.15,156.39,1076677,3715,155.254673
2022-05-11 12:00:00+00:00,156.39,156.44,152.0,152.43,1419873,16227,153.805943
2022-05-11 13:00:00+00:00,152.4299,155.45,151.35,153.86,14202085,139656,153.286286
2022-05-11 14:00:00+00:00,153.87,154.21,152.36,152.77,16448704,160603,153.331016
2022-05-11 15:00:00+00:00,152.78,153.84,151.9,152.5145,10873661,109158,152.571524
2022-05-11 16:00:00+00:00,152.51,152.53,149.56,149.92,15654511,177400,151.190359
2022-05-11 17:00:00+00:00,149.9118,149.98,146.82,147.03,20150905,206390,148.338505
2022-05-11 18:00:00+00:00,147.02,148.27,146.51,146.91,19535438,187250,147.288764
2022-05-11 19:00:00+00:00,146.89,147.0,145.81,146.59,28301203,264817,146.367596
2022-05-11 20:00:00+00:00,146.6,147.2,146.3203,146.8,13495232,11725,146.510395
2022-05-11 21:00:00+00:00,146.77,146.8,146.0,146.5,476817,8227,146.381065
2022-05-11 22:00:00+00:00,146.52,146.57,146.0,146.49,178027,3700,146.276216
2022-05-11 23:00:00+00:00,146.5,146.68,146.15,146.67,205679,3151,146.437043
2022-05-12 05:00:00+00:00,146.63,146.63,146.57,146.57,471,20,146.59293
2022-05-12 06:00:00+00:00,145.98,146.15,145.78,146.15,1081,13,145.910176
2022-05-12 07:00:00+00:00,145.19,145.19,145.19,145.19,100,1,145.19
2022-05-12 08:00:00+00:00,146.59,146.59,144.66,144.86,148044,5182,145.193716
2022-05-12 09:00:00+00:00,144.86,144.86,144.19,144.49,134796,3183,144.491325
2022-05-12 10:00:00+00:00,144.42,144.8,144.12,144.68,120873,2443,144.550621
2022-05-12 11:00:00+00:00,144.64,145.05,143.43,143.46,1324121,13289,144.483624
2022-05-12 12:00:00+00:00,143.45,143.9,142.9,143.02,1673932,21334,143.416966
2022-05-12 13:00:00+00:00,143.03,144.11,140.2,141.02,31883096,305345,141.900791
2022-05-12 14:00:00+00:00,141.01,146.1281,140.0915,145.6298,32512194,311148,143.643239
2022-05-12 15:00:00+00:00,145.63,146.19,141.24,141.25,19315323,184722,144.22264
2022-05-12 16:00:00+00:00,141.2451,142.6,140.57,141.8,17266672,162391,141.725678
2022-05-12 17:00:00+00:00,141.78,142.47,140.0,140.26,13740497,144364,141.09657
