#,Company,Symbol,Weight,Price,Chg,% Chg
209,Yum! Brands Inc.,YUM,0.102099,119.81,-2.32,(-1.90%)
210,Nucor Corporation,NUE,0.101963,133.22,1.08,(0.82%)
211,Aflac Incorporated,AFL,0.10194,59.01,0.27,(0.46%)
212,ResMed Inc.,RMD,0.101226,239.60,0.29,(0.12%)
213,DexCom Inc.,DXCM,0.100513,90.21,1.91,(2.16%)
214,Kinder Morgan Inc Class P,KMI,0.100143,17.81,-0.02,(-0.11%)
215,Consolidated Edison Inc.,ED,0.100125,98.10,0.05,(0.05%)
216,HP Inc.,HPQ,0.100019,33.00,0.26,(0.79%)
217,Carrier Global Corp.,CARR,0.099999,40.34,-0.08,(-0.19%)
218,Simon Property Group Inc.,SPG,0.099891,107.00,1.52,(1.44%)
219,Illumina Inc.,ILMN,0.098886,223.00,3.86,(1.76%)
220,Trane Technologies plc,TT,0.09807,150.26,5.05,(3.48%)
221,IDEXX Laboratories Inc.,IDXX,0.097813,405.51,6.58,(1.65%)
222,Hershey Company,HSY,0.095997,231.90,2.74,(1.20%)
223,VICI Properties Inc,VICI,0.095515,34.00,-0.20,(-0.58%)
224,TransDigm Group Incorporated,TDG,0.09544,633.45,7.24,(1.16%)
225,Otis Worldwide Corporation,OTIS,0.095276,79.23,1.77,(2.29%)
226,Public Service Enterprise Group Inc,PEG,0.094943,65.38,0.23,(0.35%)
227,WEC Energy Group Inc,WEC,0.094205,104.08,0.43,(0.41%)
228,Allstate Corporation,ALL,0.092275,116.35,0.65,(0.56%)
229,Bank of New York Mellon Corp,BK,0.091899,43.71,0.76,(1.77%)
230,International Flavors & Fragrances Inc.,IFF,0.091285,126.54,2.30,(1.85%)
231,Twitter Inc.,TWTR,0.090653,40.93,-0.05,(-0.12%)
232,Cummins Inc.,CMI,0.090485,220.00,1.39,(0.64%)
233,PACCAR Inc,PCAR,0.090275,90.84,0.61,(0.68%)
234,M&T Bank Corporation,MTB,0.089792,176.51,2.70,(1.55%)
235,Eversource Energy,ES,0.089353,90.83,0.59,(0.65%)
236,Mettler-Toledo International Inc.,MTD,0.089344,"1,359.92",19.60,(1.46%)
237,Kroger Co.,KR,0.089004,47.15,0.37,(0.79%)
238,Biogen Inc.,BIIB,0.088644,213.00,3.85,(1.84%)
239,Hess Corporation,HES,0.08806,105.66,-3.95,(-3.60%)
240,Verisk Analytics Inc,VRSK,0.087879,197.38,8.40,(4.44%)
241,DuPont de Nemours Inc.,DD,0.08733,58.15,-0.42,(-0.72%)
242,PPG Industries Inc.,PPG,0.086615,128.83,2.18,(1.72%)
243,Keysight Technologies Inc,KEYS,0.086587,165.54,2.46,(1.51%)
244,Baxter International Inc.,BAX,0.08598,58.30,-0.58,(-0.99%)
245,Ameriprise Financial Inc.,AMP,0.085075,270.06,5.95,(2.25%)
246,Fastenal Company,FAST,0.084594,51.65,0.57,(1.11%)
247,Aptiv PLC,APTV,0.084527,110.65,2.21,(2.04%)
248,Republic Services Inc.,RSG,0.083713,140.40,2.17,(1.57%)
249,AMETEK Inc.,AME,0.083157,126.24,1.43,(1.15%)
250,Rockwell Automation Inc.,ROK,0.082986,251.07,2.81,(1.13%)
251,ON Semiconductor Corporation,ON,0.082651,68.70,3.11,(4.74%)
252,Keurig Dr Pepper Inc.,KDP,0.08249,39.20,0.64,(1.66%)
253,First Republic Bank,FRC,0.082342,162.94,3.86,(2.43%)
254,AvalonBay Communities Inc.,AVB,0.0823,202.05,-2.53,(-1.24%)
255,Albemarle Corporation,ALB,0.082195,251.00,7.11,(2.92%)
256,Ross Stores Inc.,ROST,0.081948,84.58,4.75,(5.95%)
257,Discover Financial Services,DFS,0.081614,101.77,1.61,(1.61%)
258,American Water Works Company Inc.,AWK,0.081328,157.65,2.17,(1.40%)
259,T. Rowe Price Group,TROW,0.081318,126.50,3.86,(3.15%)
260,Walgreens Boots Alliance Inc.,WBA,0.080775,39.19,0.14,(0.36%)
261,Corning Inc,GLW,0.079607,36.49,0.38,(1.05%)
262,Old Dominion Freight Line Inc.,ODFL,0.079529,291.90,-2.26,(-0.77%)
263,Copart Inc.,CPRT,0.07889,130.50,2.41,(1.88%)
264,eBay Inc.,EBAY,0.078631,50.79,2.36,(4.87%)
265,CBRE Group Inc. Class A,CBRE,0.078017,83.60,1.30,(1.58%)
266,Weyerhaeuser Company,WY,0.077494,35.30,-0.57,(-1.59%)
