#,Company,Symbol,Weight,Price,Chg,% Chg
481,A. O. Smith Corporation,AOS,0.023217,61.48,1.01,(1.67%)
482,Pentair plc,PNR,0.022972,49.00,0.92,(1.91%)
483,DENTSPLY SIRONA Inc.,XRAY,0.022399,37.07,1.50,(4.22%)
484,DXC Technology Co.,DXC,0.022349,29.75,-1.37,(-4.40%)
485,Newell Brands Inc,NWL,0.021733,20.37,0.57,(2.88%)
486,Franklin Resources Inc.,BEN,0.02168,28.10,0.72,(2.63%)
487,Ceridian HCM Holding Inc.,CDAY,0.021471,58.78,3.51,(6.35%)
488,Universal Health Services Inc. Class B,UHS,0.021395,111.16,1.24,(1.13%)
489,Federal Realty Investment Trust,FRT,0.021021,104.17,0.06,(0.06%)
490,Wynn Resorts Limited,WYNN,0.019676,67.00,2.59,(4.02%)
491,News Corporation Class A,NWSA,0.019301,17.21,0.21,(1.24%)
492,Mohawk Industries Inc.,MHK,0.017922,120.16,0.13,(0.11%)
493,Invesco Ltd.,IVZ,0.017378,17.90,0.24,(1.36%)
494,Penn National Gaming Inc.,PENN,0.017348,36.88,0.71,(1.96%)
495,Alaska Air Group Inc.,ALK,0.016034,46.30,1.80,(4.04%)
496,DaVita Inc.,DVA,0.015413,86.00,-0.45,(-0.52%)
497,Norwegian Cruise Line Holdings Ltd.,NCLH,0.015035,12.94,0.47,(3.77%)
498,Vornado Realty Trust,VNO,0.013362,29.62,0.27,(0.92%)
499,Fox Corporation Class B,FOX,0.013224,31.29,0.36,(1.16%)
500,Ralph Lauren Corporation Class A,RL,0.013053,99.00,4.03,(4.24%)
501,PVH Corp.,PVH,0.012641,62.92,1.72,(2.81%)
502,DISH Network Corporation Class A,DISH,0.0123,18.12,0.99,(5.78%)
503,News Corporation Class B,NWS,0.006125,17.72,0.52,(3.02%)
504,Embecta Corporation,EMBC,0.000005,29.87,-0.39,(-1.29%)
